CCX1,CCX2,CCX3,CCY1,CCY2,CCY3,CCZ1,CCZ2,CCZ3,Country Code,year
-0.6609779091561946,-0.6460658166214135,-1.3029013908087625,-1.028264261500724,-0.3458125787555668,0.5197250751974282,-2.189333087718,0.530366827497716,-1.3860871820525278,NER,2003.0
-0.9859099623538755,1.0485260904298876,-1.3549187245191594,-0.14875003292396466,1.7154972279973377,-0.9395100598712898,-1.4954265061411314,0.15445216268618236,-1.3005210064359387,NER,2004.0
-0.9043723197038619,-0.09632919987304972,-0.8574922922467986,-0.4978666282261962,-0.7098143760471494,-1.7648508958175555,-1.7123685044280232,-0.1693155952027644,-1.2649100341911566,NER,2005.0
-0.7271200365161528,0.039698731841709536,-1.4137453532643764,-0.7964688224353301,0.9219870330545942,-0.7355431316011505,-0.741742027365961,-0.011656337500760368,-1.7283159790946834,NER,2006.0
-0.6213462592135852,-0.3129911283527622,-0.7533304403198405,-0.6440170513013992,0.602710686021556,0.5181747886272551,-1.275134088977813,0.9945842472025715,-0.8281328214056616,NER,2007.0
-0.5664909618015055,-0.390513391743585,-1.090374964717084,-1.8956273598667626,0.8938897211123922,0.5112364599758452,-0.5797139711677557,0.8076995136890125,-0.36626326843888396,NER,2008.0
-0.6514170394987309,1.3044012715696176,-0.8826403181386507,1.176947238196987,0.4091545132475746,-0.9502837857039453,0.4039424156645218,0.6731172512894773,-0.4301847646059637,NER,2009.0
-0.7867340198095177,-0.26120733256148965,-0.2625571512359536,2.237987734571651,0.31192921944385293,0.6710300883755576,0.13136030308045488,1.1968571516623394,0.5299583958860581,NER,2010.0
-0.2537741921467223,0.78094116146387,-0.5971832377912576,0.21808503462129789,0.7806137325241619,-0.1382272768500127,0.11234608948079035,0.7902299952311617,-0.10581924793385299,NER,2011.0
0.16125631344569386,1.0002846686024822,0.7094791582002374,-0.10585527232100221,-0.7026979265908642,1.5935787436297821,-0.23506341173808198,-1.5882696254979423,1.3103352707984222,NER,2012.0
-0.2267714905256213,1.0010218139674023,-0.24756024831788062,0.8725964453061851,0.42522511231549726,1.358668597720471,0.5301906002600717,0.2283418092371185,0.463017972690169,NER,2013.0
-0.6232910644221747,1.336181032670959,0.06964702771621638,0.43237532060028977,0.18619317501304525,1.7501111368905817,0.5096200756381302,0.07177403947759706,0.41893344518693226,NER,2014.0
-0.9963068852068482,1.791522945622835,0.10354639311300388,-0.8468159722138433,0.25013056142629536,-0.6372407667176562,1.024946981283627,0.013505968604842765,0.647968327388216,NER,2015.0
1.316228454390076,-0.36186284752438813,1.377969034939195,1.2848360973699962,-1.0206568741186612,0.7255602445026913,1.0875699693681733,0.036895318354816166,0.5433036170685259,NER,2016.0
1.766039955290874,-0.944137083699192,0.5695803084154692,-0.813211922465191,-0.5617794048302426,-0.7839412184698042,0.6578917282747924,-3.373308901620513,2.730303403824848,NER,2017.0
1.994621124405609,-2.0600716278283433,0.4671249710908253,0.6092371475069993,-0.46561175411462213,-0.900404001054542,0.6185231965628446,-0.2732210575680996,0.2539462474567383,NER,2018.0
2.0807022983446517,-1.5951862932536784,1.4445803356279472,0.21514429162404164,-1.8297694579323305,0.7150396332384263,1.25504394904815,0.1094709594903347,0.23221944159274735,NER,2019.0
0.522594228768431,-0.5613083360727185,1.352783823345927,0.09329376932589306,-0.80368035474325,0.6844530531978348,0.9195466719250719,-0.34112937448117053,0.16047482593786652,NER,2020.0
0.5942137227508576,-0.2687958708817094,0.9638232199526144,1.0647284702618114,1.8693561848967228,-0.8883215746240105,1.1171979135424452,-0.7436151425733981,-0.13435699424202402,NER,2021.0
-0.43114395704140274,-0.8041087877564339,1.70416984895833,-1.428354226130739,-1.9268644399203436,-1.3092551106459072,-0.1393982965923074,0.8932207900214788,0.2541303505701699,NER,2022.0
