NUTS2024,NUTS2021,NUTS2016,NUTS2013,NUTS2010,NUTS2006,NUTS2003,NUTS1999
FIZ,FIZ,FIZ,FIZ,FIZ,FIZ,FIZ,NA
FR1,FR1,FR1,FR1,FR1,FR1,FR1,FR1
FR1,FR1,FR1,FR1,FR1,FR1,FR1,FR1
FRB,FRB,FRB,NA,NA,NA,NA,NA
FRC,FRC,FRC,NA,NA,NA,NA,NA
FRD,FRD,FRD,NA,NA,NA,NA,NA
FRE,FRE,FRE,NA,NA,NA,NA,NA
FRF,FRF,FRF,NA,NA,NA,NA,NA
FRG,FRG,FRG,NA,NA,NA,NA,NA
FRH,FRH,FRH,NA,NA,NA,NA,NA
FRI,FRI,FRI,NA,NA,NA,NA,NA
FRJ,FRJ,FRJ,NA,NA,NA,NA,NA
FRK,FRK,FRK,FR7,FR7,FR7,FR7,FR7
FRL,FRL,FRL,NA,NA,NA,NA,NA
FRM,FRM,FRM,NA,NA,NA,NA,NA
FRY,FRY,FRY,FRA,NA,NA,NA,NA
FRZ,FRZ,FRZ,FRZ,FRZ,FRZ,FRZ,NA
HR0,HR0,HR0,HR0,HR0,NA,NA,NA
HRZ,HRZ,HRZ,HRZ,HRZ,NA,NA,NA
HU1,HU1,HU1,HU1,HU1,HU1,HU1,NA
HU2,HU2,HU2,HU2,HU2,HU2,HU2,NA
HU3,HU3,HU3,HU3,HU3,HU3,HU3,NA
HUZ,HUZ,HUZ,HUZ,HUZ,HUZ,HUZ,NA
IE0,IE0,IE0,IE0,IE0,IE0,IE0,IE
IE0,IE0,IE0,IE0,IE0,IE0,IE0,IE
IEZ,IEZ,IEZ,IEZ,IEZ,IEZ,IEZ,NA
ITC,ITC,ITC,ITC,ITC,ITC,ITC,IT1
ITC,ITC,ITC,ITC,ITC,ITC,ITC,IT2
ITC,ITC,ITC,ITC,ITC,ITC,ITC,IT2
ITF,ITF,ITF,ITF,ITF,ITF,ITF,IT7
ITF,ITF,ITF,ITF,ITF,ITF,ITF,IT8
ITF,ITF,ITF,ITF,ITF,ITF,ITF,IT8
ITF,ITF,ITF,ITF,ITF,ITF,ITF,IT9
ITG,ITG,ITG,ITG,ITG,ITG,ITG,ITA
ITG,ITG,ITG,ITG,ITG,ITG,ITG,ITA
ITG,ITG,ITG,ITG,ITG,ITG,ITG,ITB
ITG,ITG,ITG,ITG,ITG,ITG,ITG,ITB
ITH,ITH,ITH,ITH,ITH,NA,NA,NA
ITI,ITI,ITI,ITI,ITI,NA,NA,NA
ITZ,ITZ,ITZ,ITZ,ITZ,ITZ,ITZ,NA
LT0,LT0,LT0,LT0,LT0,LT0,LT0,NA
LTZ,LTZ,LTZ,LTZ,LTZ,LTZ,LTZ,NA
LU0,LU0,LU0,LU0,LU0,LU0,LU0,LU
LU0,LU0,LU0,LU0,LU0,LU0,LU0,LU
LU0,LU0,LU0,LU0,LU0,LU0,LU0,LU
LU0,LU0,LU0,LU0,LU0,LU0,LU0,LU
LUZ,LUZ,LUZ,LUZ,LUZ,LUZ,LUZ,NA
LV0,LV0,LV0,LV0,LV0,LV0,LV0,NA
LVZ,LVZ,LVZ,LVZ,LVZ,LVZ,LVZ,NA
MT0,MT0,MT0,MT0,MT0,MT0,MT0,NA
MTZ,MTZ,MTZ,MTZ,MTZ,MTZ,MTZ,NA
NL1,NL1,NL1,NL1,NL1,NL1,NL1,NL1
NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2
NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3
NL4,NL4,NL4,NL4,NL4,NL4,NL4,NL4
NLZ,NLZ,NLZ,NLZ,NLZ,NLZ,NLZ,NA
PL2,PL2,PL2,PL2,PL2,PL2,PL2,NA
PL4,PL4,PL4,PL4,PL4,PL4,PL4,NA
PL5,PL5,PL5,PL5,PL5,PL5,PL5,NA
PL6,PL6,PL6,PL6,PL6,PL6,PL6,NA
PL7,PL7,PL7,NA,NA,NA,NA,NA
PL8,PL8,PL8,NA,NA,NA,NA,NA
PL9,PL9,PL9,NA,NA,NA,NA,NA
PLZ,PLZ,PLZ,PLZ,PLZ,PLZ,PLZ,NA
PT1,PT1,PT1,PT1,PT1,PT1,PT1,PT1
PT2,PT2,PT2,PT2,PT2,PT2,PT2,PT2
PT2,PT2,PT2,PT2,PT2,PT2,PT2,PT2
PT2,PT2,PT2,PT2,PT2,PT2,PT2,PT2
PT3,PT3,PT3,PT3,PT3,PT3,PT3,PT3
PT3,PT3,PT3,PT3,PT3,PT3,PT3,PT3
PT3,PT3,PT3,PT3,PT3,PT3,PT3,PT3
PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,NA
RO1,RO1,RO1,RO1,RO1,RO1,RO0,NA
